⭐= Regional Variant,,,(⭐) = Evolves into a Regional Variant,,,,,,,
,,,,,,,,,,
FIBERNIA,,,,,,,,,,
,,,,,,,,,,
EVENT,,,,Keep playing the Talrega Lottery until its event is triggered.,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Jirachi,5,Event,,,,,,,,
,,,,,,,,,,
FIBERNIA WOODS,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,HEADBUTT,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Bellsprout,2-4,20%,,Hoothoot ⭐,5,20%,,,,
Spearow ⭐,2-4,20%,,Mankey,5,20%,,,,
Lotad,2-4,10%,,Sentret,5,20%,,,,
Hoppip,2-4,10%,,Swablu,5,20%,,,,
Nincada,2-4,10%,,Seedot,5,20%,,,,
Nidoran (M),3-5,9%,,,,,,,,
Nidoran (F),3-5,15%,,,,,,,,
Meowth,3-5,6%,,,,,,,,
,,,,,,,,,,
FIBERNIA PROMONTORY,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Koffing,2-5,20%,,,,,,,,
Rattata ⭐,2-5,24%,,,,,,,,
Grimer (Alola)⭐,2-5,15%,,,,,,,,
Wooper,2-5,15%,,,,,,,,
Venonat,2-5,20%,,,,,,,,
Gulpin ⭐,2-5,6%,,,,,,,,
,,,,,,,,,,
ABANDONED LAB,,,,,,,,,,
,,,,,,,,,,
FLOOR,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Magnemite,3-6,20%,,,,,,,,
Voltorb (Hisui)⭐,3-6,24%,,,,,,,,
Pikachu (⭐),3-6,15%,,,,,,,,
Grimer (Alola)⭐,3-6,15%,,,,,,,,
Koffing,3-6,20%,,,,,,,,
Elekid ⭐,4-6,6%,,,,,,,,
,,,,,,,,,,
COASTAL ROAD,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,FISHING,,,,EVENT,,
